image_path,hog_pc1,hog_pc2,clip_pc1,clip_pc2,hog_cluster,clip_cluster,hog_name,surface_effect,clip_name,surface_type
..\data\images_resized\img_9.jpg,4.642241518159677,4.081867579922057,0.22441362,-0.12571391,0,1,multi-directional structure,multi-directional noise,monolithic concrete mass,monolithic surface
..\data\images_resized\img_90.jpg,-0.07613105693623409,-0.4039633963584021,0.093348764,-0.037865125,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_91.jpg,2.197929740230056,1.620880207541049,-0.012831152,-0.12547839,0,2,multi-directional structure,multi-directional noise,facade repetition,grid surface
..\data\images_resized\img_92.jpg,-0.19230743255271557,0.3695904332965672,-0.08286068,-0.019225264,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_93.jpg,1.958682269801133,0.0909146884567821,0.25165302,0.1399002,1,1,directional perspective,directional stretch,monolithic concrete mass,monolithic surface
..\data\images_resized\img_94.jpg,1.626969534167493,-3.962183733911962,-0.0026471035,-0.20774302,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_95.jpg,0.321341471505701,-0.38933737763377535,-0.16581349,0.12725668,1,3,directional perspective,directional stretch,open structural frame,skeletal/open surface
..\data\images_resized\img_96.jpg,-1.1190173956233738,-1.8474286389287033,0.020182217,-0.28044015,1,2,directional perspective,directional stretch,facade repetition,grid surface
..\data\images_resized\img_97.jpg,1.3556364261029208,2.384746198205766,-0.006093079,-0.068327315,3,3,high-contrast edges,sharp displacement,open structural frame,skeletal/open surface
..\data\images_resized\img_98.jpg,-1.0574435641789737,3.1986607818186874,0.030986851,-0.29732087,2,2,repetitive grid,modular repetition,facade repetition,grid surface
..\data\images_resized\img_99.jpg,1.2349513538353478,-2.9882179888541787,0.17837492,-0.07660346,1,0,directional perspective,directional stretch,complex urban brutalism,layered surface
